Data_Zone,pop2020,pop2016,GeoAcess_Domain_2020,GeoAcess_Domain_2016,GeoAccess_Calculation_Broadband,GeoAccess_Calculation,Rank
S01007729,725,744,6976,6976,1.614904212,1.805170408,10
S01010141,936,878,6975,6973,1.623186818,1.823621151,10
S01008641,959,886,6974,6975,1.655597384,1.850469655,10
S01013012,779,702,6735,6938,1.848807875,2.077748957,10
S01008856,560,581,6968,6764,1.877376567,2.101140639,10
S01007935,798,812,6548,6972,1.896888224,2.115240072,10
S01010285,799,817,6966,6968,1.896193065,2.119463629,10
S01007728,909,909,6972,6971,1.9057428,2.136868361,10
S01011993,810,841,6969,6952,1.918008549,2.162667626,10
S01010052,848,708,6258,6974,1.968568876,2.179104121,10
S01007732,824,809,6970,6967,1.985301464,2.228065009,10
S01007730,687,756,6960,6969,2.022302671,2.267228162,10
S01010279,672,657,6965,6953,2.028956389,2.278798748,10
S01008786,1059,1018,6933,6947,2.057413619,2.295231133,10
S01012435,624,631,6725,6944,2.036529585,2.300634744,10
S01009878,763,717,6971,6924,2.062678126,2.30510726,10
S01009890,616,584,6973,6970,2.070325781,2.324928113,10
S01007718,719,708,6749,6963,2.069566684,2.32640224,10
S01010256,854,875,6953,6931,2.101039891,2.349770646,10
S01009926,792,736,6299,6778,2.108989581,2.350457012,10
S01009881,550,509,6957,6960,2.116850975,2.364003935,10
S01007274,747,795,6967,6894,2.108736277,2.365042285,10
S01010402,974,1022,6951,6713,2.142488854,2.400922751,10
S01008790,692,675,6831,6941,2.166835241,2.411602889,10
S01010396,1023,1014,6963,6950,2.157373231,2.418387042,10
S01008640,820,829,6956,6933,2.165032829,2.437255081,10
S01008666,1106,1048,6917,6951,2.187369314,2.44839964,10
S01010250,819,709,6943,6923,2.185595119,2.451820198,10
S01008680,709,646,6700,6860,2.203185794,2.452351358,10
S01008630,606,595,6961,6930,2.200468415,2.455181856,10
S01013444,881,922,6910,6766,2.197006104,2.456781029,10
S01009819,704,683,6568,6910,2.183187401,2.463588594,10
S01011869,766,793,6945,6956,2.209922346,2.496362337,10
S01007295,477,544,6952,6912,2.209599383,2.497480854,10
S01008793,496,463,6881,6937,2.243823022,2.507348633,10
S01012688,824,822,6441,6936,2.241807533,2.515506401,10
S01008808,733,705,6964,6890,2.256993419,2.532457756,10
S01007733,880,896,6931,6932,2.253278332,2.532786722,10
S01010388,963,963,6877,6961,2.277535947,2.538885585,10
S01010234,1147,1030,6955,6965,2.25723393,2.541099098,10
S01008637,855,733,6939,6896,2.274822401,2.561176958,10
S01010799,791,827,6579,6839,2.283855427,2.569116402,10
S01007556,508,508,6949,6853,2.288001206,2.578889445,10
S01012566,707,702,6918,6877,2.311355752,2.587868246,10
S01013228,732,699,6398,6915,2.313674819,2.588973536,10
S01010287,946,950,6908,6521,2.315445625,2.591482754,10
S01008689,875,895,6954,6693,2.307065201,2.592464823,10
S01012786,630,656,6935,6831,2.311364741,2.605312593,10
S01007727,1040,996,6703,6921,2.327831861,2.610081871,10
S01011269,472,493,6940,6904,2.313266737,2.611938011,10
S01009886,779,771,6291,6885,2.347389481,2.625311725,10
S01010147,992,962,6941,6883,2.329488096,2.626550235,10
S01010873,511,511,6637,6818,2.333838747,2.626898206,10
S01010401,742,739,6946,6886,2.355391192,2.648940685,10
S01010280,992,890,6425,6945,2.358888958,2.651339589,10
S01008290,909,967,6912,6575,2.36627534,2.652192417,10
S01009887,928,880,6625,6934,2.357820738,2.654270975,10
S01009924,1077,1052,6624,6959,2.367905576,2.654387765,10
S01008664,807,719,6792,6966,2.374505312,2.654797692,10
S01011326,767,758,6427,6926,2.365972379,2.656493619,10
S01008974,832,839,6938,6813,2.362739731,2.656753778,10
S01010433,631,457,6942,6633,2.372202756,2.658193153,10
S01009922,1146,1087,6490,6911,2.37135653,2.659210194,10
S01008788,774,790,6859,6919,2.387658684,2.669592338,10
S01010015,787,814,6865,6948,2.381997257,2.66976317,10
S01012565,789,755,6936,6940,2.369884491,2.670339541,10
S01008662,555,577,6762,6962,2.389201889,2.671321803,10
S01007428,819,855,6950,6891,2.387892864,2.676268986,10
S01007011,803,850,6524,6770,2.379101426,2.677132622,10
S01008860,877,905,6845,6822,2.397588831,2.687225352,10
S01009057,555,553,6893,6949,2.395721979,2.689783498,10
S01012645,826,836,6922,6790,2.385698607,2.691966204,10
S01008499,1068,999,6909,6935,2.398021387,2.699303569,10
S01008631,966,863,6000,6942,2.441223084,2.704989472,10
